Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
823,52,5,1,0,General,Tops,Blouses
910,56,5,1,0,General,Tops,Fine gauge
862,33,5,1,0,General,Tops,Knits
862,46,4,1,1,General,Tops,Knits
862,41,5,1,2,General,Tops,Knits
1104,39,3,1,3,General,Dresses,Dresses
862,39,5,1,34,General,Tops,Knits
862,66,4,1,2,General,Tops,Knits
862,61,5,1,2,General,Tops,Knits
368,33,2,0,3,Initmates,Intimate,Intimates
862,31,3,0,0,General,Tops,Knits
1095,36,4,1,0,General Petite,Dresses,Dresses
368,52,4,1,1,Initmates,Intimate,Intimates
1095,41,5,1,0,General Petite,Dresses,Dresses
368,36,1,0,0,Initmates,Intimate,Intimates
862,28,5,1,0,General,Tops,Knits
862,57,5,1,1,General,Tops,Knits
862,43,5,1,0,General,Tops,Knits
862,58,4,1,2,General,Tops,Knits
862,60,4,1,9,General,Tops,Knits
862,40,5,1,1,General,Tops,Knits
862,37,2,0,0,General,Tops,Knits
1078,56,3,0,1,General Petite,Dresses,Dresses
845,38,4,1,10,General Petite,Tops,Blouses
822,36,2,0,0,General,Tops,Blouses
850,27,5,1,4,General,Tops,Blouses
866,47,4,1,0,General Petite,Tops,Knits
1081,59,5,1,1,General Petite,Dresses,Dresses
845,48,5,1,5,General Petite,Tops,Blouses
1082,31,4,1,0,General,Dresses,Dresses
850,28,2,0,0,General Petite,Tops,Blouses
836,47,5,1,1,General,Tops,Blouses
1081,62,4,1,2,General Petite,Dresses,Dresses
1072,68,5,1,1,General,Dresses,Dresses
863,61,5,1,4,General Petite,Tops,Knits
1133,33,5,1,0,General,Jackets,Outerwear
822,68,5,1,3,General,Tops,Blouses
861,37,3,1,0,General Petite,Tops,Knits
866,58,1,0,2,General Petite,Tops,Knits
850,39,4,1,0,General Petite,Tops,Blouses
1081,39,4,1,9,General Petite,Dresses,Dresses
845,38,2,0,4,General Petite,Tops,Blouses
836,24,4,1,3,General,Tops,Blouses
1078,51,4,1,0,General Petite,Dresses,Dresses
850,29,5,1,5,General Petite,Tops,Blouses
861,23,5,1,0,General Petite,Tops,Knits
1081,31,5,1,0,General,Dresses,Dresses
850,23,4,1,3,General Petite,Tops,Blouses
863,83,5,1,14,General,Tops,Knits
845,44,1,0,0,General Petite,Tops,Blouses
861,44,1,0,0,General Petite,Tops,Knits
1133,50,5,1,0,General,Jackets,Outerwear
861,33,3,0,17,General Petite,Tops,Knits
861,39,4,1,0,General Petite,Tops,Knits
863,40,4,1,5,General,Tops,Knits
822,69,5,1,2,General,Tops,Blouses
822,23,2,0,9,General,Tops,Blouses
863,51,2,0,0,General,Tops,Knits
836,66,5,1,0,General,Tops,Blouses
836,47,4,1,11,General,Tops,Blouses
836,66,4,1,0,General,Tops,Blouses
836,23,5,1,3,General,Tops,Blouses
1081,47,5,1,0,General,Dresses,Dresses
861,44,1,0,11,General Petite,Tops,Knits
1081,44,3,1,4,General,Dresses,Dresses
836,50,5,1,24,General,Tops,Blouses
1081,61,5,1,3,General,Dresses,Dresses
1082,32,2,0,0,General,Dresses,Dresses
863,52,4,1,0,General,Tops,Knits
1072,51,4,1,1,General,Dresses,Dresses
1078,32,5,1,2,General Petite,Dresses,Dresses
850,37,2,0,0,General,Tops,Blouses
836,54,5,1,4,General,Tops,Blouses
861,33,5,1,0,General Petite,Tops,Knits
966,63,5,1,0,General,Jackets,Jackets
1196,29,5,1,0,General Petite,Dresses,Dresses
836,24,5,1,0,General,Tops,Blouses
923,50,3,0,2,General,Tops,Sweaters
1072,34,3,1,1,General,Dresses,Dresses
1133,71,4,1,0,General,Jackets,Outerwear
1133,30,5,1,0,General,Jackets,Outerwear
966,52,4,1,0,General,Jackets,Jackets
863,28,5,1,0,General,Tops,Knits
845,62,4,1,3,General Petite,Tops,Blouses
1081,39,3,1,0,General,Dresses,Dresses
861,46,4,1,1,General Petite,Tops,Knits
966,36,5,1,0,General,Jackets,Jackets
845,65,5,1,12,General Petite,Tops,Blouses
861,35,4,1,0,General Petite,Tops,Knits
966,31,4,1,0,General,Jackets,Jackets
836,52,4,1,0,General,Tops,Blouses
126,34,4,1,1,Initmates,Intimate,Lounge
1008,31,5,1,1,General,Bottoms,Skirts
829,36,5,1,0,General,Tops,Blouses
828,39,4,1,2,General,Tops,Blouses
1126,35,5,1,0,General,Jackets,Outerwear
1008,51,5,1,0,General,Bottoms,Skirts
829,39,3,0,9,General,Tops,Blouses
828,39,3,1,2,General,Tops,Blouses
1008,39,5,1,0,General,Bottoms,Skirts
1011,47,5,1,1,General,Bottoms,Skirts
1008,64,5,1,0,General,Bottoms,Skirts
1008,38,5,1,2,General,Bottoms,Skirts
1008,36,5,1,1,General,Bottoms,Skirts
1008,39,4,1,0,General,Bottoms,Skirts
829,53,3,0,0,General,Tops,Blouses
829,36,3,1,1,General,Tops,Blouses
829,44,3,1,0,General Petite,Tops,Blouses
829,48,5,1,0,General Petite,Tops,Blouses
1008,37,5,1,1,General,Bottoms,Skirts
523,43,3,0,2,Initmates,Intimate,Swim
829,53,4,1,7,General Petite,Tops,Blouses
829,33,4,1,0,General Petite,Tops,Blouses
1126,39,4,1,0,General,Jackets,Outerwear
829,52,1,0,8,General Petite,Tops,Blouses
829,64,4,1,2,General Petite,Tops,Blouses
1008,52,5,1,7,General,Bottoms,Skirts
1126,42,4,1,0,General,Jackets,Outerwear
829,35,3,0,0,General Petite,Tops,Blouses
1020,56,5,1,6,General Petite,Bottoms,Skirts
895,55,5,1,0,General,Tops,Fine gauge
862,40,5,1,0,General,Tops,Knits
1104,47,5,1,3,General,Dresses,Dresses
670,36,5,1,0,Initmates,Intimate,Sleep
329,46,5,1,0,Initmates,Intimate,Sleep
670,66,4,1,0,Initmates,Intimate,Sleep
868,51,4,1,0,General Petite,Tops,Knits
1020,34,5,1,5,General Petite,Bottoms,Skirts
862,30,4,1,4,General,Tops,Knits
895,43,5,1,9,General,Tops,Fine gauge
895,52,5,1,0,General,Tops,Fine gauge
1094,35,2,0,0,General Petite,Dresses,Dresses
895,41,5,1,3,General,Tops,Fine gauge
895,39,5,1,1,General,Tops,Fine gauge
1020,39,4,1,1,General Petite,Bottoms,Skirts
895,50,5,1,5,General,Tops,Fine gauge
1020,27,4,1,1,General Petite,Bottoms,Skirts
895,33,2,0,8,General,Tops,Fine gauge
895,35,2,0,0,General,Tops,Fine gauge
1020,34,4,1,0,General Petite,Bottoms,Skirts
596,41,5,1,2,General,Trend,Trend
1094,54,4,1,0,General Petite,Dresses,Dresses
1020,41,4,1,4,General Petite,Bottoms,Skirts
895,47,4,1,0,General Petite,Tops,Fine gauge
895,52,2,0,3,General Petite,Tops,Fine gauge
895,46,5,1,0,General Petite,Tops,Fine gauge
1020,22,5,1,1,General Petite,Bottoms,Skirts
1098,40,3,1,0,General,Dresses,Dresses
895,62,5,1,9,General Petite,Tops,Fine gauge
862,26,5,1,2,General Petite,Tops,Knits
1020,38,5,1,3,General Petite,Bottoms,Skirts
895,53,5,1,0,General,Tops,Fine gauge
1020,49,3,0,0,General Petite,Bottoms,Skirts
895,43,3,0,0,General,Tops,Fine gauge
895,36,5,1,0,General,Tops,Fine gauge
895,36,3,0,0,General,Tops,Fine gauge
895,63,5,1,1,General,Tops,Fine gauge
828,56,4,0,4,General,Tops,Blouses
1020,48,3,0,9,General Petite,Bottoms,Skirts
862,43,5,1,1,General,Tops,Knits
1020,44,4,1,1,General Petite,Bottoms,Skirts
895,40,5,1,0,General,Tops,Fine gauge
862,44,1,0,1,General,Tops,Knits
895,54,5,1,0,General,Tops,Fine gauge
1020,72,4,1,5,General Petite,Bottoms,Skirts
1075,52,4,1,3,General,Dresses,Dresses
1104,47,5,1,0,General,Dresses,Dresses
1020,67,1,0,17,General Petite,Bottoms,Skirts
1094,39,5,1,0,General Petite,Dresses,Dresses
305,46,2,0,0,Initmates,Intimate,Swim
828,64,5,1,3,General,Tops,Blouses
1094,30,5,1,0,General Petite,Dresses,Dresses
828,38,5,1,1,General,Tops,Blouses
895,36,4,1,5,General Petite,Tops,Fine gauge
1020,52,5,1,1,General Petite,Bottoms,Skirts
895,61,5,1,0,General Petite,Tops,Fine gauge
647,29,5,1,1,General Petite,Intimate,Lounge
1025,38,4,1,10,General,Bottoms,Jeans
1025,35,5,1,14,General,Bottoms,Jeans
815,55,5,1,1,General Petite,Tops,Blouses
1066,57,4,1,3,General,Bottoms,Pants
840,55,4,1,5,General,Tops,Blouses
1026,39,4,1,0,General,Bottoms,Jeans
840,39,5,1,13,General,Tops,Blouses
1066,46,5,1,8,General,Bottoms,Pants
840,37,2,0,1,General,Tops,Blouses
1030,29,5,1,1,General,Bottoms,Jeans
840,83,5,1,0,General,Tops,Blouses
1066,29,5,1,1,General,Bottoms,Pants
647,49,5,1,0,General Petite,Intimate,Lounge
1066,42,2,0,0,General,Bottoms,Pants
872,63,5,1,0,General,Tops,Knits
840,56,3,0,20,General,Tops,Blouses
1066,55,4,1,0,General,Bottoms,Pants
647,32,1,0,3,General Petite,Intimate,Lounge
1066,26,5,1,0,General,Bottoms,Pants
840,60,4,1,0,General,Tops,Blouses
1066,48,3,1,0,General,Bottoms,Pants
872,38,5,1,0,General,Tops,Knits
1066,49,3,1,1,General,Bottoms,Pants
1115,41,4,1,1,General,Jackets,Outerwear
1030,28,5,1,0,General,Bottoms,Jeans
1018,28,4,1,0,General,Bottoms,Skirts
1026,48,5,1,1,General,Bottoms,Jeans
840,32,5,1,0,General,Tops,Blouses
1066,29,5,1,1,General,Bottoms,Pants
647,32,5,1,6,General Petite,Intimate,Lounge
840,28,5,1,0,General,Tops,Blouses
840,51,4,1,1,General,Tops,Blouses
840,44,5,1,1,General,Tops,Blouses
1018,43,4,1,0,General,Bottoms,Skirts
840,48,3,0,1,General,Tops,Blouses
824,37,5,1,1,General,Tops,Blouses
1115,31,5,1,2,General,Jackets,Outerwear
840,50,5,1,0,General,Tops,Blouses
878,47,3,0,1,General,Tops,Knits
984,56,5,1,2,General Petite,Jackets,Jackets
1104,25,5,1,6,General,Dresses,Dresses
878,63,4,1,0,General,Tops,Knits
1104,54,5,1,0,General,Dresses,Dresses
984,28,4,1,0,General Petite,Jackets,Jackets
866,26,4,1,0,General,Tops,Knits
1104,29,5,1,0,General,Dresses,Dresses
868,61,3,1,0,General,Tops,Knits
984,45,5,1,1,General Petite,Jackets,Jackets
984,39,5,1,7,General Petite,Jackets,Jackets
1104,36,5,1,0,General,Dresses,Dresses
878,41,5,1,11,General,Tops,Knits
1182,37,5,1,0,General Petite,Tops,Knits
868,55,5,1,0,General,Tops,Knits
868,83,5,1,1,General,Tops,Knits
868,35,3,1,2,General,Tops,Knits
565,38,5,1,3,General Petite,Trend,Trend
984,35,5,1,0,General Petite,Jackets,Jackets
1104,45,5,1,7,General,Dresses,Dresses
868,65,5,1,4,General,Tops,Knits
878,41,5,1,1,General,Tops,Knits
868,69,4,1,0,General,Tops,Knits
1104,36,5,1,0,General,Dresses,Dresses
868,42,2,0,1,General,Tops,Knits
984,69,5,1,0,General Petite,Jackets,Jackets
878,46,2,0,0,General,Tops,Knits
984,55,5,1,0,General Petite,Jackets,Jackets
984,36,5,1,2,General Petite,Jackets,Jackets
984,71,5,1,0,General Petite,Jackets,Jackets
1024,65,5,1,0,General,Bottoms,Jeans
984,68,3,1,16,General Petite,Jackets,Jackets
984,43,5,1,3,General Petite,Jackets,Jackets
1104,30,5,1,7,General,Dresses,Dresses
1024,40,5,1,0,General,Bottoms,Jeans
984,47,5,1,0,General Petite,Jackets,Jackets
1104,39,5,1,0,General,Dresses,Dresses
984,34,5,1,0,General Petite,Jackets,Jackets
1104,38,4,1,1,General,Dresses,Dresses
984,38,5,1,0,General Petite,Jackets,Jackets
895,36,5,1,0,General,Tops,Fine gauge
1104,41,5,1,0,General,Dresses,Dresses
1131,36,3,1,2,General,Jackets,Outerwear
984,47,5,1,0,General Petite,Jackets,Jackets
1104,63,5,1,0,General,Dresses,Dresses
831,35,5,1,0,General,Tops,Blouses
984,35,4,1,2,General Petite,Jackets,Jackets
1104,56,5,1,0,General,Dresses,Dresses
836,41,5,1,0,General,Tops,Blouses
1089,37,3,0,6,General Petite,Dresses,Dresses
844,34,3,0,0,General Petite,Tops,Blouses
836,32,4,1,4,General,Tops,Blouses
836,60,3,0,3,General,Tops,Blouses
836,21,5,1,8,General,Tops,Blouses
836,59,5,1,0,General,Tops,Blouses
844,53,5,1,4,General Petite,Tops,Blouses
936,27,5,1,2,General Petite,Tops,Sweaters
895,62,5,1,7,General,Tops,Fine gauge
836,41,5,1,23,General,Tops,Blouses
831,50,5,1,3,General,Tops,Blouses
844,54,5,1,13,General Petite,Tops,Blouses
895,47,5,1,0,General,Tops,Fine gauge
1066,41,5,1,0,General,Bottoms,Pants
844,43,2,0,0,General Petite,Tops,Blouses
836,43,5,1,1,General,Tops,Blouses
836,23,4,1,0,General,Tops,Blouses
907,25,5,1,0,General,Tops,Fine gauge
836,51,5,1,0,General,Tops,Blouses
844,41,3,0,0,General Petite,Tops,Blouses
1103,49,4,1,2,General,Dresses,Dresses
866,46,5,1,5,General,Tops,Knits
907,29,5,1,6,General,Tops,Fine gauge
844,53,1,0,17,General Petite,Tops,Blouses
895,66,5,1,6,General,Tops,Fine gauge
895,32,5,1,2,General,Tops,Fine gauge
1080,74,5,1,9,General Petite,Dresses,Dresses
831,63,5,1,0,General,Tops,Blouses
844,41,5,1,0,General Petite,Tops,Blouses
844,40,4,1,0,General Petite,Tops,Blouses
831,40,5,1,0,General,Tops,Blouses
836,32,5,1,0,General,Tops,Blouses
907,49,5,1,3,General,Tops,Fine gauge
844,44,3,0,2,General Petite,Tops,Blouses
895,24,5,1,0,General,Tops,Fine gauge
895,70,5,1,1,General,Tops,Fine gauge
907,30,5,1,1,General,Tops,Fine gauge
844,47,5,1,0,General Petite,Tops,Blouses
836,27,3,0,15,General,Tops,Blouses
844,36,2,0,0,General Petite,Tops,Blouses
844,69,4,1,7,General Petite,Tops,Blouses
844,52,5,1,1,General Petite,Tops,Blouses
936,32,2,0,0,General Petite,Tops,Sweaters
907,37,5,1,4,General,Tops,Fine gauge
936,32,5,1,0,General Petite,Tops,Sweaters
831,42,1,0,6,General,Tops,Blouses
907,51,5,1,2,General,Tops,Fine gauge
862,34,3,0,0,General Petite,Tops,Knits
836,37,3,1,3,General,Tops,Blouses
936,50,4,1,17,General Petite,Tops,Sweaters
895,36,5,1,0,General Petite,Tops,Fine gauge
836,65,3,0,0,General,Tops,Blouses
580,60,5,1,1,Initmates,Intimate,Lounge
895,46,5,1,0,General Petite,Tops,Fine gauge
862,38,4,1,0,General,Tops,Knits
862,37,5,1,1,General,Tops,Knits
844,46,5,1,4,General Petite,Tops,Blouses
836,29,2,0,0,General,Tops,Blouses
895,39,5,1,0,General Petite,Tops,Fine gauge
836,25,5,1,0,General,Tops,Blouses
895,64,5,1,4,General Petite,Tops,Fine gauge
895,57,5,1,1,General Petite,Tops,Fine gauge
895,44,5,1,2,General Petite,Tops,Fine gauge
836,44,5,1,6,General,Tops,Blouses
859,26,4,1,0,General,Tops,Knits
862,37,3,0,0,General,Tops,Knits
1049,48,5,1,0,General,Bottoms,Pants
862,35,5,1,10,General,Tops,Knits
1089,67,5,1,0,General Petite,Dresses,Dresses
1089,24,4,1,1,General Petite,Dresses,Dresses
1104,59,3,0,13,General,Dresses,Dresses
127,47,4,1,0,General Petite,Intimate,Lounge
1104,42,3,1,0,General,Dresses,Dresses
936,29,5,1,0,General,Tops,Sweaters
902,54,4,1,3,General,Tops,Fine gauge
995,41,2,0,11,General,Bottoms,Skirts
936,62,5,1,9,General,Tops,Sweaters
127,29,4,1,0,General Petite,Intimate,Lounge
1104,38,1,0,20,General,Dresses,Dresses
1086,25,4,1,9,General,Dresses,Dresses
936,33,5,1,1,General,Tops,Sweaters
746,34,3,1,0,Initmates,Intimate,Intimates
1081,53,4,1,3,General Petite,Dresses,Dresses
127,46,3,1,0,General Petite,Intimate,Lounge
936,33,3,0,1,General,Tops,Sweaters
127,40,3,0,2,General Petite,Intimate,Lounge
1035,32,5,1,0,General,Bottoms,Jeans
902,38,4,1,6,General,Tops,Fine gauge
995,62,5,1,11,General,Bottoms,Skirts
1104,35,5,1,0,General,Dresses,Dresses
1089,34,5,1,0,General Petite,Dresses,Dresses
1086,26,3,0,9,General,Dresses,Dresses
902,31,2,1,6,General,Tops,Fine gauge
902,58,5,1,3,General,Tops,Fine gauge
1094,40,5,1,1,General,Dresses,Dresses
1086,22,3,0,3,General,Dresses,Dresses
936,55,5,1,1,General,Tops,Sweaters
1036,66,4,1,0,General,Bottoms,Jeans
936,39,5,1,0,General,Tops,Sweaters
1094,30,5,1,1,General,Dresses,Dresses
1094,53,5,1,3,General,Dresses,Dresses
1086,23,5,1,6,General,Dresses,Dresses
127,37,5,1,1,General Petite,Intimate,Lounge
127,51,5,1,0,General Petite,Intimate,Lounge
1083,37,4,1,2,General,Dresses,Dresses
872,35,5,1,14,General,Tops,Knits
1083,35,2,0,2,General,Dresses,Dresses
831,40,5,1,0,General,Tops,Blouses
1080,32,3,1,1,General,Dresses,Dresses
1077,68,5,1,2,General,Dresses,Dresses
872,65,4,1,0,General,Tops,Knits
964,37,5,1,2,General,Jackets,Jackets
1089,39,3,1,1,General Petite,Dresses,Dresses
872,22,4,1,1,General,Tops,Knits
1083,50,5,1,0,General,Dresses,Dresses
829,33,4,1,0,General,Tops,Blouses
964,33,5,1,0,General,Jackets,Jackets
1089,38,5,1,0,General Petite,Dresses,Dresses
829,32,5,1,0,General,Tops,Blouses
829,51,5,1,0,General,Tops,Blouses
967,56,5,1,1,General,Jackets,Jackets
829,38,4,1,2,General,Tops,Blouses
829,35,4,1,0,General,Tops,Blouses
872,48,4,1,19,General,Tops,Knits
872,31,4,1,0,General,Tops,Knits
149,38,4,1,1,Initmates,Intimate,Lounge
964,58,5,1,4,General,Jackets,Jackets
1030,63,5,1,1,General,Bottoms,Jeans
964,40,5,1,5,General,Jackets,Jackets
1083,41,4,0,0,General,Dresses,Dresses
872,60,4,1,1,General,Tops,Knits
872,60,5,1,1,General,Tops,Knits
829,48,4,1,6,General,Tops,Blouses
872,70,4,1,0,General,Tops,Knits
964,27,5,1,0,General,Jackets,Jackets
1089,32,3,1,0,General Petite,Dresses,Dresses
872,26,3,0,3,General,Tops,Knits
872,51,5,1,1,General,Tops,Knits
872,48,5,1,0,General,Tops,Knits
1077,30,2,0,0,General,Dresses,Dresses
967,56,4,1,1,General,Jackets,Jackets
872,27,5,1,2,General,Tops,Knits
964,44,5,1,1,General,Jackets,Jackets
872,39,5,1,2,General,Tops,Knits
234,33,5,1,0,Initmates,Intimate,Swim
149,33,4,1,0,Initmates,Intimate,Lounge
829,60,4,1,0,General,Tops,Blouses
829,44,4,1,0,General,Tops,Blouses
872,71,5,1,0,General,Tops,Knits
872,44,5,1,6,General,Tops,Knits
850,52,5,1,5,General Petite,Tops,Blouses
850,23,3,0,1,General Petite,Tops,Blouses
724,69,4,1,1,Initmates,Intimate,Intimates
833,48,5,1,0,General,Tops,Blouses
862,35,5,1,6,General,Tops,Knits
850,59,5,1,4,General Petite,Tops,Blouses
1078,61,5,1,1,General,Dresses,Dresses
850,45,5,1,0,General Petite,Tops,Blouses
1104,25,5,1,1,General,Dresses,Dresses
1078,33,3,0,0,General,Dresses,Dresses
984,40,4,1,0,General,Jackets,Jackets
850,68,5,1,3,General Petite,Tops,Blouses
204,30,5,1,0,Initmates,Intimate,Intimates
1078,20,5,1,1,General,Dresses,Dresses
862,42,2,0,2,General,Tops,Knits
1078,52,5,1,1,General,Dresses,Dresses
984,42,5,1,2,General,Jackets,Jackets
1008,24,4,1,0,General,Bottoms,Skirts
841,43,4,1,0,General Petite,Tops,Blouses
1104,51,3,0,0,General,Dresses,Dresses
850,39,5,1,1,General Petite,Tops,Blouses
1081,39,5,1,0,General,Dresses,Dresses
833,39,4,1,1,General,Tops,Blouses
850,57,4,1,0,General Petite,Tops,Blouses
862,35,4,1,0,General Petite,Tops,Knits
1078,46,5,1,1,General,Dresses,Dresses
850,51,5,1,4,General Petite,Tops,Blouses
850,39,5,1,0,General Petite,Tops,Blouses
831,55,5,1,0,General,Tops,Blouses
833,42,5,1,0,General,Tops,Blouses
984,40,4,1,0,General,Jackets,Jackets
1078,31,4,1,4,General,Dresses,Dresses
1104,39,5,1,0,General,Dresses,Dresses
1081,59,5,1,10,General,Dresses,Dresses
833,53,4,1,0,General,Tops,Blouses
850,41,5,1,1,General Petite,Tops,Blouses
1078,49,5,1,2,General,Dresses,Dresses
850,33,3,0,0,General Petite,Tops,Blouses
1078,36,2,0,1,General,Dresses,Dresses
850,29,3,1,15,General Petite,Tops,Blouses
850,49,4,1,2,General Petite,Tops,Blouses
1078,39,5,1,0,General,Dresses,Dresses
948,40,2,1,0,General Petite,Tops,Sweaters
850,57,5,1,0,General Petite,Tops,Blouses
833,56,4,1,0,General,Tops,Blouses
1078,51,3,1,11,General,Dresses,Dresses
850,58,5,1,7,General Petite,Tops,Blouses
1078,67,4,1,0,General,Dresses,Dresses
1078,36,5,1,8,General,Dresses,Dresses
850,27,5,1,4,General Petite,Tops,Blouses
948,60,2,0,2,General Petite,Tops,Sweaters
1078,49,5,1,3,General,Dresses,Dresses
850,49,3,1,7,General Petite,Tops,Blouses
1081,35,5,1,3,General Petite,Dresses,Dresses
833,60,5,1,3,General,Tops,Blouses
1081,53,5,1,1,General Petite,Dresses,Dresses
850,38,4,1,29,General Petite,Tops,Blouses
850,48,2,0,0,General Petite,Tops,Blouses
850,37,5,1,0,General Petite,Tops,Blouses
984,42,5,1,0,General,Jackets,Jackets
850,50,4,1,0,General Petite,Tops,Blouses
1104,41,5,1,4,General,Dresses,Dresses
1104,39,1,0,0,General,Dresses,Dresses
1104,26,5,1,4,General,Dresses,Dresses
1078,25,5,1,0,General,Dresses,Dresses
850,34,5,1,1,General Petite,Tops,Blouses
850,25,5,1,0,General Petite,Tops,Blouses
984,31,3,1,0,General,Jackets,Jackets
1078,47,5,1,1,General,Dresses,Dresses
984,61,5,1,0,General,Jackets,Jackets
850,52,5,1,1,General,Tops,Blouses
833,56,3,1,0,General,Tops,Blouses
1078,68,3,1,1,General,Dresses,Dresses
850,39,5,1,0,General,Tops,Blouses
1081,40,4,1,0,General Petite,Dresses,Dresses
984,53,5,1,0,General,Jackets,Jackets
850,45,5,1,1,General,Tops,Blouses
850,28,4,1,0,General,Tops,Blouses
1104,33,5,1,0,General,Dresses,Dresses
1078,71,5,1,0,General,Dresses,Dresses
984,46,5,1,0,General,Jackets,Jackets
984,56,5,1,0,General,Jackets,Jackets
1078,36,4,1,2,General,Dresses,Dresses
1104,35,5,1,0,General,Dresses,Dresses
984,58,5,1,6,General,Jackets,Jackets
1078,53,5,1,2,General,Dresses,Dresses
984,64,5,1,32,General,Jackets,Jackets
833,45,3,0,0,General,Tops,Blouses
850,44,5,1,0,General,Tops,Blouses
1078,52,3,0,2,General,Dresses,Dresses
1078,49,2,1,0,General,Dresses,Dresses
984,52,5,1,0,General,Jackets,Jackets
850,56,4,1,0,General,Tops,Blouses
1078,45,5,1,0,General,Dresses,Dresses
984,35,5,1,0,General,Jackets,Jackets
831,38,4,1,0,General,Tops,Blouses
1086,32,4,1,0,General,Dresses,Dresses
1044,39,5,1,0,General Petite,Bottoms,Pants
820,32,4,1,0,General,Tops,Blouses
1094,35,5,1,2,General,Dresses,Dresses
1094,34,5,1,0,General,Dresses,Dresses
995,48,5,1,0,General,Bottoms,Skirts
1094,36,4,1,1,General,Dresses,Dresses
1060,40,5,1,0,General,Bottoms,Pants
833,47,1,0,12,General,Tops,Blouses
1037,41,4,1,0,General Petite,Bottoms,Jeans
875,33,5,1,2,General,Tops,Knits
875,33,4,1,3,General,Tops,Knits
820,39,5,1,3,General,Tops,Blouses
1037,54,4,1,4,General Petite,Bottoms,Jeans
820,44,4,1,0,General,Tops,Blouses
1037,39,5,1,0,General,Bottoms,Jeans
820,24,5,1,0,General,Tops,Blouses
833,65,1,0,0,General,Tops,Blouses
1094,64,5,1,30,General,Dresses,Dresses
833,40,5,1,1,General,Tops,Blouses
995,39,4,1,0,General,Bottoms,Skirts
1094,42,3,0,3,General,Dresses,Dresses
875,34,2,0,2,General,Tops,Knits
1037,38,3,0,0,General,Bottoms,Jeans
875,29,2,0,3,General,Tops,Knits
833,49,3,0,1,General,Tops,Blouses
1060,39,3,0,0,General,Bottoms,Pants
1094,48,4,1,2,General,Dresses,Dresses
835,66,5,1,2,General,Tops,Blouses
1094,25,4,1,0,General,Dresses,Dresses
1094,36,4,1,0,General,Dresses,Dresses
875,46,2,0,1,General,Tops,Knits
823,37,5,1,1,General,Tops,Blouses
835,42,5,1,1,General,Tops,Blouses
833,26,4,1,1,General,Tops,Blouses
833,33,5,1,2,General,Tops,Blouses
820,52,5,1,0,General,Tops,Blouses
835,41,5,1,0,General,Tops,Blouses
1060,25,5,1,0,General,Bottoms,Pants
1037,47,3,1,0,General,Bottoms,Jeans
820,24,4,1,0,General,Tops,Blouses
1079,32,3,0,5,General,Dresses,Dresses
1060,44,4,1,1,General,Bottoms,Pants
875,66,5,1,2,General,Tops,Knits
835,64,5,1,1,General,Tops,Blouses
1078,39,5,1,0,General Petite,Dresses,Dresses
1037,42,1,0,1,General,Bottoms,Jeans
820,35,5,1,0,General,Tops,Blouses
1072,59,5,1,0,General,Dresses,Dresses
1094,64,3,1,1,General,Dresses,Dresses
